
================================================================================
       Solver:RDA    Version: 0.1 (2023-05-02)  
================================================================================
Problem Summary: Excuted at 2023-05-04 11:55:08.180855
Dataset:.............................................a9a
Data Size:......................................n=32561, p=123
Loss Function:..................................Logistic
Regularizer:....................................Overlapping Group L1
Penalty Parameter:..............................lambda=0.0036
Number of groups:..............................14

Algorithm Parameters:
 Termination Conditions:
    accuracy: -1.0 | optim scaled: True | time limits:43200.0 | epoch limits:100
 Sampling Setups: batchsize: 256 | shuffle: True
 Proximal Stepsize update: increasing
 Compute Optimality measure: True
Inexact Proximal Solver:
 exact solve:False | ipg_strategy:diminishing | ipg_do_linesearch:True
 ipg_diminishing_c:1 | ipg_diminishing_delta:2
 ipg_linesearch_eta:0.0001 | ipg_linesearch_xi:0.8 | ipg_linesearch_beta:1.2
****************************************************************************************************
 Epoch.   Obj.    alphak      #z   #nz   |egradf| |   optim     #pz    #pnz |
    62 5.083e-01 8.909e+03    12     2  6.438e-04 | 4.825e-04    12      2  |
    63 5.084e-01 8.981e+03    12     2  2.892e-03 | 2.242e-03    12      2  |
    64 5.083e-01 9.052e+03    12     2  7.508e-04 | 4.902e-04    12      2  |
    65 5.083e-01 9.122e+03    12     2  4.956e-04 | 4.635e-04    12      2  |
    66 5.083e-01 9.192e+03    12     2  2.249e-03 | 1.899e-03    12      2  |
    67 5.084e-01 9.261e+03    12     2  2.418e-03 | 1.972e-03    12      2  |
    68 5.083e-01 9.330e+03    12     2  1.219e-03 | 7.616e-04    12      2  |
    69 5.083e-01 9.398e+03    12     2  4.200e-04 | 6.146e-04    12      2  |
    70 5.083e-01 9.466e+03    12     2  1.618e-03 | 9.958e-04    13      1  |
    71 5.083e-01 9.534e+03    12     2  7.477e-04 | 9.519e-04    12      2  |
    72 5.083e-01 9.601e+03    12     2  1.270e-03 | 7.918e-04    12      2  |
    73 5.083e-01 9.667e+03    12     2  1.829e-03 | 1.055e-03    13      1  |
    74 5.083e-01 9.733e+03    12     2  6.688e-04 | 4.611e-04    12      2  |
    75 5.083e-01 9.798e+03    12     2  4.569e-04 | 6.030e-04    12      2  |
    76 5.083e-01 9.864e+03    12     2  7.791e-04 | 5.392e-04    12      2  |
    77 5.083e-01 9.928e+03    12     2  9.943e-04 | 1.149e-03    12      2  |
    78 5.083e-01 9.992e+03    12     2  9.314e-04 | 6.338e-04    12      2  |
    79 5.083e-01 1.006e+04    12     2  6.240e-04 | 4.098e-04    12      2  |
    80 5.083e-01 1.012e+04    12     2  5.877e-04 | 4.115e-04    12      2  |
    81 5.083e-01 1.018e+04    12     2  9.384e-04 | 1.057e-03    12      2  |
    82 5.083e-01 1.025e+04    12     2  1.278e-03 | 7.557e-04    12      2  |
    83 5.083e-01 1.031e+04    12     2  8.376e-04 | 9.509e-04    12      2  |
    84 5.083e-01 1.037e+04    12     2  1.245e-03 | 7.241e-04    12      2  |
    85 5.083e-01 1.043e+04    12     2  1.179e-03 | 6.877e-04    12      2  |
    86 5.083e-01 1.049e+04    12     2  1.556e-03 | 9.381e-04    13      1  |
    87 5.083e-01 1.055e+04    12     2  3.589e-04 | 4.682e-04    12      2  |
    88 5.083e-01 1.061e+04    12     2  5.081e-04 | 6.822e-04    12      2  |
    89 5.083e-01 1.067e+04    12     2  3.566e-04 | 4.755e-04    12      2  |
    90 5.083e-01 1.073e+04    12     2  7.669e-04 | 8.784e-04    12      2  |
